"Geographic code","Geographic name","Province or territory","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016"
"01","Canada",,T,35151728,15412443,14072079
"A0A","A0A","Newfoundland and Labrador",,46587,26155,19426
"A0B","A0B","Newfoundland and Labrador",,19792,13658,8792
"A0C","A0C","Newfoundland and Labrador",,12587,8010,5606
"A0E","A0E","Newfoundland and Labrador",,22294,12293,9603
"A0G","A0G","Newfoundland and Labrador",,35266,21750,15200
"A0H","A0H","Newfoundland and Labrador",,17804,9928,7651
"A0J","A0J","Newfoundland and Labrador",,7880,4813,3426
"A0K","A0K","Newfoundland and Labrador",,26058,15159,11090
"A0L","A0L","Newfoundland and Labrador",,7643,3769,3178
"A0M","A0M","Newfoundland and Labrador",,6200,3247,2769
"A0N","A0N","Newfoundland and Labrador",,13815,8027,6370
"A0P","A0P","Newfoundland and Labrador",,13721,5123,4677
"A0R","A0R","Newfoundland and Labrador",,2543,1293,966
"A1A","A1A","Newfoundland and Labrador",,30382,13545,12663
"A1B","A1B","Newfoundland and Labrador",,19867,10051,8653
"A1C","A1C","Newfoundland and Labrador",,12712,7438,6453
"A1E","A1E","Newfoundland and Labrador",,27115,13704,12553
"A1G","A1G","Newfoundland and Labrador",,5777,2646,2483
"A1H","A1H","Newfoundland and Labrador",,5493,2102,1984
"A1K","A1K","Newfoundland and Labrador",,12253,4646,4438
"A1L","A1L","Newfoundland and Labrador",,21376,8659,8035
"A1M","A1M","Newfoundland and Labrador",,8058,3181,2996
"A1N","A1N","Newfoundland and Labrador",,22957,10381,9605
"A1S","A1S","Newfoundland and Labrador",,6142,2374,2304
"A1V","A1V","Newfoundland and Labrador",,11698,5172,4892

Note:
"Incompletely enumerated Indian reserves and Indian settlements, 2016","T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements."
"For further information, refer to: http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/hlt-fst/pd-pl/About.cfm."

"Source: Statistics Canada, 2016 Census of Population."
"How to cite: Statistics Canada. 2017. Population and dwelling counts, for Canada and forward sortation areas© as reported by the respondents, 2016 Census (table). Population and Dwelling Count Highlight Tables. 2016 Census."
"Statistics Canada Catalogue no. 98-402-X2016001. Ottawa. Released February 8, 2017."
"http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/hlt-fst/pd-pl/Tables/File.cfm?T=1201&SR=1&RPP=25&PR=0&CMA=0&CSD=0&S=22&O=A&Lang=Eng&OFT=CSV (accessed August 18, 2019)"

